Start_time,End_time,Fare,City,Age,Flight_count,Avg_discount,Flight_mileage
2011/08/18,2014/03/31,5860.0,.,35.0,10,0.9731289809999999,12560
2011/01/13,2014/03/31,5561.0,佛山,35.0,12,0.5759058570000001,21223
2012/08/15,2014/03/31,1089.0,北京,33.0,9,0.63502494,19246
2012/10/17,2014/03/31,9626.0,绍兴县,53.0,7,0.8685714290000001,14070
2011/09/04,2014/03/31,4473.0,上海,34.0,13,0.7034190990000001,17373
2013/03/24,2014/03/31,1988.0,佛山市,37.0,5,0.7010302890000001,17432
2012/06/11,2014/03/31,9377.0,郑州,48.0,17,0.919099729,13296
2012/06/01,2014/03/31,6120.0,贵州,48.0,20,0.9025,13540
2010/09/16,2014/03/31,4772.0,长春,35.0,15,0.72120765,16942
2011/04/11,2014/03/31,3274.0,大连,40.0,18,0.846375476,14435
2006/01/04,2014/03/31,4166.0,沈阳,36.0,8,0.859635519,14212
2006/12/01,2014/03/31,5164.0,广州,39.0,20,0.814467333,15000
2012/11/17,2014/03/31,1560.0,常州,38.0,18,0.505568614,24164
2009/08/27,2014/03/31,1415.0,伊宁,50.0,27,0.731397354,16703
2010/01/15,2014/03/31,5465.0,长春,34.0,17,0.6734149159999999,18141
2013/03/19,2014/03/31,0.0,乌鲁木齐市,29.0,18,0.591097886,20667
2006/03/04,2014/03/31,7386.0,上海,45.0,11,0.8945555070000001,13656
2005/03/25,2014/03/31,649.0,珠海,48.0,13,0.583426156,20936
2010/05/17,2014/03/31,0.0,长春,38.0,11,0.7553608759999999,16169
2005/05/12,2014/03/31,3388.0,株州,56.0,13,0.855023103,14284
2009/02/01,2014/03/31,4905.0,沈阳市,38.0,13,0.75588228,16157
2011/12/06,2014/03/31,4550.0,上海,32.0,11,0.8184191129999999,14922
2011/03/14,2014/03/31,6089.0,嘉兴,27.0,8,0.7064639859999999,17285
2012/08/29,2014/03/31,3897.0,广州,29.0,23,0.677062933,18035
2011/08/15,2014/03/31,1360.0,广州,33.0,12,0.643622371,18971
2010/10/09,2014/03/31,4568.0,北京,43.0,20,0.686131842,17794
2011/11/30,2014/03/31,2967.0,北京,34.0,11,0.8028903059999999,15206
2012/11/16,2014/03/31,5327.0,HONG KONG,58.0,23,0.577535361,21139
2008/06/28,2014/03/31,3864.0,桂林,42.0,14,0.750667773,16263
2012/08/23,2014/03/31,4724.0,武汉,37.0,21,0.58291983,20943
2012/05/08,2014/03/31,5360.0,广州,43.0,5,0.636525185,19178
2008/05/18,2014/03/31,4513.0,PLANO,41.0,16,0.602193497,20269
2011/10/26,2014/03/31,7870.0,上海,33.0,20,0.70681376,17268
2012/05/17,2014/03/31,6091.0,武汉,34.0,15,0.7725973290000001,15797
2009/08/18,2014/03/31,9234.0,佛山,42.0,8,0.7667144109999999,15918
2010/01/12,2014/03/31,7066.0,贵阳,37.0,14,0.812866658,15014
2010/03/17,2014/03/31,5944.0,大连,36.0,15,0.680877594,17924
2008/10/20,2014/03/31,8064.0,长春,39.0,15,0.872,13995
2011/10/18,2014/03/31,10291.0,,40.0,14,0.8724846270000001,13986
2008/02/27,2014/03/31,4975.0,珠海,39.0,11,0.557184803,21899
2006/07/31,2014/03/31,9925.0,OAKLAND,70.0,10,0.751996918,16225
2011/07/06,2014/03/31,2621.0,兰州,48.0,12,0.6916274590000001,17641
2012/05/05,2014/03/31,5300.0,济南,46.0,4,0.69789269,17482
2012/10/25,2014/03/31,2196.0,广州,34.0,28,0.582456434,20945
